441.38,10.00,10.00,29.84,0
441.69,30.00,30.00,29.84,1
447.47,30.00,470.00,29.84,1
453.24,470.00,470.00,29.84,1
459.01,470.00,30.00,29.84,1
464.79,30.00,30.00,29.84,0
465.09,30.00,30.00,34.84,0
465.40,10.00,10.00,34.84,1
471.70,490.00,10.00,34.84,1
478.00,490.00,490.00,34.84,1
484.30,10.00,490.00,34.84,1
490.60,10.00,10.00,34.84,0
490.91,30.00,30.00,34.84,1
496.69,30.00,470.00,34.84,1
502.46,470.00,470.00,34.84,1
508.24,470.00,30.00,34.84,1
514.01,30.00,30.00,34.84,0
514.31,30.00,30.00,39.84,0
514.62,10.00,10.00,39.84,1
520.92,490.00,10.00,39.84,1
527.22,490.00,490.00,39.84,1
533.52,10.00,490.00,39.84,1
539.82,10.00,10.00,39.84,0
540.14,30.00,30.00,39.84,1
545.91,30.00,470.00,39.84,1
551.68,470.00,470.00,39.84,1
557.46,470.00,30.00,39.84,1
563.23,30.00,30.00,39.84,0
563.53,30.00,30.00,44.84,0
563.85,10.00,10.00,44.84,1
570.15,490.00,10.00,44.84,1
576.44,490.00,490.00,44.84,1
582.74,10.00,490.00,44.84,1
589.04,10.00,10.00,44.84,0
589.36,30.00,30.00,44.84,1
595.13,30.00,470.00,44.84,1
600.91,470.00,470.00,44.84,1
606.68,470.00,30.00,44.84,1
612.45,30.00,30.00,44.84,0
612.75,30.00,30.00,49.84,0
613.07,10.00,10.00,49.84,1
619.37,490.00,10.00,49.84,1
625.67,490.00,490.00,49.84,1
631.97,10.00,490.00,49.84,1
638.27,10.00,10.00,49.84,0
638.58,30.00,30.00,49.84,1
644.35,30.00,470.00,49.84,1
650.13,470.00,470.00,49.84,1
655.90,470.00,30.00,49.84,1
661.68,30.00,30.00,49.84,0
661.98,30.00,30.00,54.84,0
662.29,10.00,10.00,54.84,1
668.59,490.00,10.00,54.84,1
674.89,490.00,490.00,54.84,1
681.19,10.00,490.00,54.84,1
687.49,10.00,10.00,54.84,0
687.80,30.00,30.00,54.84,1
693.58,30.00,470.00,54.84,1
699.35,470.00,470.00,54.84,1
705.12,470.00,30.00,54.84,1
710.90,30.00,30.00,54.84,0
711.20,30.00,30.00,59.84,0
711.51,10.00,10.00,59.84,1
717.81,490.00,10.00,59.84,1
724.11,490.00,490.00,59.84,1
730.41,10.00,490.00,59.84,1
736.71,10.00,10.00,59.84,0
737.02,30.00,30.00,59.84,1
742.80,30.00,470.00,59.84,1
748.57,470.00,470.00,59.84,1
754.35,470.00,30.00,59.84,1
760.12,30.00,30.00,59.84,0
760.42,30.00,30.00,64.84,0
760.73,10.00,10.00,64.84,1
767.03,490.00,10.00,64.84,1
773.33,490.00,490.00,64.84,1
779.63,10.00,490.00,64.84,1
785.93,10.00,10.00,64.84,0
786.25,30.00,30.00,64.84,1
792.02,30.00,470.00,64.84,1
797.79,470.00,470.00,64.84,1
803.57,470.00,30.00,64.84,1
809.34,30.00,30.00,64.84,0
809.64,30.00,30.00,69.84,0
809.96,10.00,10.00,69.84,1
816.26,490.00,10.00,69.84,1
822.55,490.00,490.00,69.84,1
828.85,10.00,490.00,69.84,1
835.15,10.00,10.00,69.84,0
